SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
26120,Fayette,Lexington,Michler's,MICHLER FLORIST ,417 E Maxwell St Unit A,"Lexington, KY 40508",034-LP-2456,Quota Retail Package License,Active,4/4/18,4/4/18,11/30/22
33497,Fayette,Lexington,mickeys liquor & spirits,BRISTOL & BRISTOL LLC ,476 Squires Rd,"Lexington, KY 40515",034-NQ-188016,NQ Retail Malt Beverage Package License,Active,1/10/22,1/10/22,11/30/22
33497,Fayette,Lexington,mickeys liquor & spirits,BRISTOL & BRISTOL LLC ,476 Squires Rd,"Lexington, KY 40515",034-LP-188017,Quota Retail Package License,Active,1/10/22,1/10/22,11/30/22
10425,Fayette,Lexington,Midway Market,"Waling, LLC ",3895 Winchester Rd,"Lexington, KY 40509",034-NQ-6366,NQ Retail Malt Beverage Package License,Active,10/12/17,10/12/17,11/30/22
3832,Fayette,Lexington,Minglewood,Dynomite LLC ,159 N Limestone,"Lexington, KY 40507",034-RS-4443,Special Sunday Retail Drink License,Active,6/16/16,6/16/16,11/30/22
3832,Fayette,Lexington,Minglewood,Dynomite LLC ,159 N Limestone,"Lexington, KY 40507",034-NQ2-3027,NQ2 Retail Drink License,Active,6/16/16,6/16/16,11/30/22
7441,Fayette,Lexington,Mini Food Mart,MINI FOOD MART ,705 E Loudon Ave,"Lexington, KY 40505",034-NQ-1041,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,11/30/22
1812,Fayette,Lexington,Minit Mart,MINIT MART LLC ,4550 Iron Works Pike,"Lexington, KY 40511",034-NQ-7234,NQ Retail Malt Beverage Package License,Active,2/19/19,2/19/19,8/31/23
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-NQ-5667,NQ Retail Malt Beverage Package License,Active,8/19/16,8/19/16,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-LD-2723,Quota Retail Drink License,Active,12/3/18,12/3/18,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-RS-5499,Special Sunday Retail Drink License,Active,12/3/18,12/3/18,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-NQ4-3650,NQ4 Retail Malt Beverage Drink License,Active,8/19/16,8/19/16,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-SB-1790,Supplemental Bar License,Active,12/3/18,12/3/18,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-MIC-93,Microbrewery License,Active,8/19/16,8/19/16,11/30/22
23407,Fayette,Lexington,Mirror Twin Brewing Co.,"Mirror Twin Brewing  , LLC ",725 National Ave,"Lexington, KY 40502",034-SHL-187121,Direct Shipper License,Active,11/18/21,11/18/21,11/18/22
